#STEM=all_IP_networks
#VERSION=v20260828r15
#ROWS=25704
#CREATED=2026-08-23T15:41:25Z
#TOOL=update_ipam.py v1.16
#NOTE=Delta update: +5 subnets from preprocess
#END_HEADER
#UPDATED=2026-08-25T02:18:35Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260824.csv +0 -340 rows
#UPDATED=2026-08-25T02:20:41Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260824.csv +340 -0 rows
#UPDATED=2026-08-25T02:26:15Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:27:34Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_orphan_10.18.79.50_v20260824.csv +1 -0 rows
#UPDATED=2026-08-25T02:30:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_orphan_10.18.79.50_v20260824.csv +0 -1 rows
#UPDATED=2026-08-25T02:32:02Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260824.csv +0 -817 rows
#UPDATED=2026-08-25T02:33:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260824.csv +227 -0 rows
#UPDATED=2026-08-25T02:34:54Z
#GENERATOR=ipam-db.py v3.36.4 --update-patch all_IP_networks_egress_rd_ADD_children_v20260824.csv +590 -0 rows
#UPDATED=2026-08-26T03:25:15Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260825.csv +0 -4423 rows
#UPDATED=2026-08-26T03:26:38Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260825.csv +4423 -0 rows
#UPDATED=2026-08-27T02:53:40Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260826.csv +0 -5238 rows
#UPDATED=2026-08-27T02:58:33Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260826.csv +728 -0 rows
#UPDATED=2026-08-27T02:59:57Z
#GENERATOR=ipam-db.py v3.36.8 --update-patch all_IP_networks_egress_rd_ADD_children_v20260826.csv +4510 -0 rows
#UPDATED=2026-08-27T18:50:40Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260827.csv +0 -44 rows
#UPDATED=2026-08-27T18:51:34Z
#GENERATOR=ipam-db.py v3.36.9 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260827.csv +44 -0 rows
#UPDATED=2026-08-27T19:06:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260827.csv +0 -6 rows
#UPDATED=2026-08-27T19:07:52Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260827.csv +2 -0 rows
#UPDATED=2026-08-27T19:09:04Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260827.csv +4 -0 rows
#UPDATED=2026-08-28T16:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T16:51:50Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T16:53:25Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T16:55:48Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T16:57:54Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T18:24:16Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828.csv +0 -436 rows
#UPDATED=2026-08-28T18:35:56Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828.csv +436 -0 rows
#UPDATED=2026-08-28T18:42:21Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828.csv +0 -1214 rows
#UPDATED=2026-08-28T18:46:11Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828.csv +90 -0 rows
#UPDATED=2026-08-28T18:48:53Z
#GENERATOR=ipam-db.py v3.37.2 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828.csv +1124 -0 rows
#UPDATED=2026-08-28T19:53:58Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_childless_v20260828r1.csv +0 -213 rows
#UPDATED=2026-08-28T19:56:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_childless_v20260828r1.csv +213 -0 rows
#UPDATED=2026-08-28T20:00:27Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_REMOVE_groups_v20260828r1.csv +0 -5371 rows
#UPDATED=2026-08-28T20:55:56Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_parents_v20260828r1.csv +113 -0 rows
#UPDATED=2026-08-28T20:57:45Z
#GENERATOR=ipam-db.py v3.37.3 --update-patch all_IP_networks_egress_rd_ADD_children_v20260828r1.csv +5258 -0 rows
CIDR,PREFIX_LEN,NETWORK_ADDRESS,BROADCAST_ADDRESS,SITE_CODE,CANONICAL_LOCATION,LOCATION_TYPE,HERITAGE,STATUS,NET_TYPE,ROUTING_DOMAIN,FACILITY_TYPE,STORE_NUMBER,COMM_TYPE,DATA_QUALITY,SOURCE,DATASET_VERSION,LOC_MASTER_VERSION,CONTESTED_BLOCK,EXT_ID_REFS
10.14.86.52/31,31.0,10.14.86.52,10.14.86.53,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.54/31,31.0,10.14.86.54,10.14.86.55,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.56/31,31.0,10.14.86.56,10.14.86.57,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.58/31,31.0,10.14.86.58,10.14.86.59,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.60/31,31.0,10.14.86.60,10.14.86.61,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.62/31,31.0,10.14.86.62,10.14.86.63,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.64/31,31.0,10.14.86.64,10.14.86.65,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.66/31,31.0,10.14.86.66,10.14.86.67,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.68/31,31.0,10.14.86.68,10.14.86.69,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.70/31,31.0,10.14.86.70,10.14.86.71,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.72/31,31.0,10.14.86.72,10.14.86.73,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.74/31,31.0,10.14.86.74,10.14.86.75,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.76/31,31.0,10.14.86.76,10.14.86.77,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.78/31,31.0,10.14.86.78,10.14.86.79,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.80/31,31.0,10.14.86.80,10.14.86.81,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.82/31,31.0,10.14.86.82,10.14.86.83,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.84/31,31.0,10.14.86.84,10.14.86.85,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.86/31,31.0,10.14.86.86,10.14.86.87,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.88/31,31.0,10.14.86.88,10.14.86.89,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.90/31,31.0,10.14.86.90,10.14.86.91,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.92/31,31.0,10.14.86.92,10.14.86.93,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.94/31,31.0,10.14.86.94,10.14.86.95,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.96/31,31.0,10.14.86.96,10.14.86.97,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.98/31,31.0,10.14.86.98,10.14.86.99,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.100/31,31.0,10.14.86.100,10.14.86.101,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.102/31,31.0,10.14.86.102,10.14.86.103,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.104/31,31.0,10.14.86.104,10.14.86.105,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.106/31,31.0,10.14.86.106,10.14.86.107,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.108/31,31.0,10.14.86.108,10.14.86.109,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.110/31,31.0,10.14.86.110,10.14.86.111,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.112/31,31.0,10.14.86.112,10.14.86.113,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.114/31,31.0,10.14.86.114,10.14.86.115,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.116/31,31.0,10.14.86.116,10.14.86.117,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.118/31,31.0,10.14.86.118,10.14.86.119,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.120/31,31.0,10.14.86.120,10.14.86.121,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.122/31,31.0,10.14.86.122,10.14.86.123,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.124/31,31.0,10.14.86.124,10.14.86.125,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.126/31,31.0,10.14.86.126,10.14.86.127,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.128/31,31.0,10.14.86.128,10.14.86.129,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.130/31,31.0,10.14.86.130,10.14.86.131,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.132/31,31.0,10.14.86.132,10.14.86.133,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.134/31,31.0,10.14.86.134,10.14.86.135,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.136/31,31.0,10.14.86.136,10.14.86.137,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.138/31,31.0,10.14.86.138,10.14.86.139,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.140/31,31.0,10.14.86.140,10.14.86.141,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.142/31,31.0,10.14.86.142,10.14.86.143,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.144/31,31.0,10.14.86.144,10.14.86.145,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.146/31,31.0,10.14.86.146,10.14.86.147,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.148/31,31.0,10.14.86.148,10.14.86.149,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.150/31,31.0,10.14.86.150,10.14.86.151,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.152/31,31.0,10.14.86.152,10.14.86.153,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.154/31,31.0,10.14.86.154,10.14.86.155,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.156/31,31.0,10.14.86.156,10.14.86.157,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.158/31,31.0,10.14.86.158,10.14.86.159,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.160/31,31.0,10.14.86.160,10.14.86.161,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.162/31,31.0,10.14.86.162,10.14.86.163,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.164/31,31.0,10.14.86.164,10.14.86.165,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.166/31,31.0,10.14.86.166,10.14.86.167,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.168/31,31.0,10.14.86.168,10.14.86.169,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.170/31,31.0,10.14.86.170,10.14.86.171,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.172/31,31.0,10.14.86.172,10.14.86.173,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.174/31,31.0,10.14.86.174,10.14.86.175,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.176/31,31.0,10.14.86.176,10.14.86.177,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.178/31,31.0,10.14.86.178,10.14.86.179,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.180/31,31.0,10.14.86.180,10.14.86.181,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.182/31,31.0,10.14.86.182,10.14.86.183,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.184/31,31.0,10.14.86.184,10.14.86.185,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.186/31,31.0,10.14.86.186,10.14.86.187,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.188/31,31.0,10.14.86.188,10.14.86.189,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.190/31,31.0,10.14.86.190,10.14.86.191,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.192/31,31.0,10.14.86.192,10.14.86.193,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.194/31,31.0,10.14.86.194,10.14.86.195,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.196/31,31.0,10.14.86.196,10.14.86.197,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.198/31,31.0,10.14.86.198,10.14.86.199,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.200/31,31.0,10.14.86.200,10.14.86.201,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.202/31,31.0,10.14.86.202,10.14.86.203,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.204/31,31.0,10.14.86.204,10.14.86.205,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.206/31,31.0,10.14.86.206,10.14.86.207,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.208/31,31.0,10.14.86.208,10.14.86.209,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.210/31,31.0,10.14.86.210,10.14.86.211,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.212/31,31.0,10.14.86.212,10.14.86.213,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.214/31,31.0,10.14.86.214,10.14.86.215,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.216/31,31.0,10.14.86.216,10.14.86.217,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.218/31,31.0,10.14.86.218,10.14.86.219,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.220/31,31.0,10.14.86.220,10.14.86.221,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.222/31,31.0,10.14.86.222,10.14.86.223,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.224/31,31.0,10.14.86.224,10.14.86.225,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.226/31,31.0,10.14.86.226,10.14.86.227,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.228/31,31.0,10.14.86.228,10.14.86.229,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.230/31,31.0,10.14.86.230,10.14.86.231,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.232/31,31.0,10.14.86.232,10.14.86.233,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.234/31,31.0,10.14.86.234,10.14.86.235,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.236/31,31.0,10.14.86.236,10.14.86.237,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.238/31,31.0,10.14.86.238,10.14.86.239,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.240/31,31.0,10.14.86.240,10.14.86.241,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.242/31,31.0,10.14.86.242,10.14.86.243,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.244/31,31.0,10.14.86.244,10.14.86.245,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
10.14.86.246/31,31.0,10.14.86.246,10.14.86.247,US_LVG_NV_CI,Las Vegas NV - Switch COLO,COLO,SWITCH,Active,COLO,COLO,Datacenter,,,Authoritative,NMS,20260603r19,v5.19,,
